"","X..i..","freq"
"1477","Gesundheitsaufseher,in",1
"1478","Konservierer,in",3
"1479","Schichtführer,in",3
"1480","Schiffsbetriebsoffizier,in",4
"1481","Kaufmann,frau Bank",1
"1482","Textilkaufmann,frau",2
"1483","Reinigungsfrau",2
"1484","Bürohilfe",1
"1485","Abschleppwagenfahrer,in",4
"1486","Versicherungsmathematiker,in",4
"1487","Diplom-Wirtschaftsmathematiker,in",2
"1488","Medizinisch-technische,r Assistent,in",2
"1489","Kältetechniker,in",2
"1490","Pharmazeut,in",5
"1491","Statistiker,in",2
"1492","Student,in (Systems Engineering)",1
"1493","Student,in (Literaturwissenschaft)",6
"1494","Student,in (Game Design)",1
"1495","Computer-Techniker,in",2
"1496","Parfümeriefachverkäufer,in",3
"1497","Verwaltungsleiter,in",2
"1498","Diplom-Physiker,in",5
"1499","Bedienung",2
"1500","Servierer,in",7
"1501","Bauklempner,in",1
"1502","Zerspaner,in",6
"1503","Steward,Stewardess",1
"1504","Motorenschlosser,in",4
"1505","Unternehmer,in, Geschäftsführer,in",2
"1506","Holzbauer,in",2
"1507","Gebäudereiniger,in, Raumpfleger,in",1
"1508","Schaufensterdekorateur,in",3
"1509","Autowäscher,in",1
"1510","Abbrucharbeiter,in",2
"1511","Tier-, Pferde-, Fischwirt,in",3
"1512","Heizungsinstallateur,in",4
"1513","Gästebetreuer,in",4
"1514","Federnreiniger,in",1
"1515","Technische,r Einkäufer,in",3
"1516","Kardiologe,Kardiologin",3
"1517","Vermittler,in",3
"1518","Damenschneider,in",3
"1519","Beamter,Beamtin Verwaltung bei Ländern",5
"1520","Maler,in und Tapezierer,in",3
"1521","Schulassistent,in",1
"1522","Buchbinder,in",2
"1523","Mülllader,in",2
"1524","Erdbaugeräteführer,in",2
"1525","Dolmetscher,in, Übersetzer,in",1
"1526","Fliesenlegermeister,in",2
"1527","Metallpolierer,in",2
"1528","Estrichleger,in",2
"1529","Kommunikationselektroniker,in Informationstechnik",2
"1530","Floristikfacharbeiter,in",2
"1531","Beikoch,köchin",2
"1532","Schulungsleiter,in",1
"1533","Maschinenbaumeister,in",2
"1534","Jugendheimerzieher,in",8
"1535","Diplom-Sozialökonom,Sozialökonomin",4
"1536","Elektroinstallateurmeister,in",2
"1537","Fachlehrer,in",1
"1538","Fachbereichsleiter,in",3
"1539","Verkaufsassistent,in",2
"1540","Krankenpflegehelferschüler,in",5
"1541","Regionalleiter,in",5
"1542","Holztechnikingenieur,in",2
"1543","Gemeindeangestellte,r",2
"1544","Tiefbauingenieur,in",6
"1545","Müllarbeiter,in",2
"1546","Ausbildungsleiter,in",2
"1547","Fliesenhändler,in",1
"1548","Ladenbauer,in",1
"1549","Regierungssekretär,in",3
"1550","Bundesgrenzschutzbeamte,r ohne besondere Gefahren",2
"1551","Werbefachmann,frau",2
"1552","Molekularbiologe,biologin",2
"1553","Filmemacher,in",2
"1554","Prüfer,in",3
"1555","Studienberater,in",2
"1556","Elektrikermeister,in",3
"1557","Küchenkraft",2
"1558","Lagerversandarbeiter,in",2
"1559","Marktforscher,in",2
"1560","Assistent,in Ingenieur Maschinenbautechnik",4
"1561","Auszubildende,r (Zahnmedizinische,r Fachangestellte,r)",2
"1562","Marktbeobachter,in",2
"1563","Gebäudereiniger,in",3
"1564","Briefträger,in",2
"1565","Baumpfleger,in",3
"1566","Systemprogrammierer,in",2
"1567","Diplom-Ingenieur,in Wirtschaftsingenieurwesen",1
"1568","Diplom-Sportlehrer,in",5
"1569","Hochschullehrer,in",2
"1570","Textildrucker,in",1
"1571","Luft- und Raumfahrtingenieur,in",2
"1572","Baggerführer,in",2
"1573","Baggerfahrer,in",2
"1574","Heizungsbaumeister,in",2
"1575","Altenbetreuer,in",1
"1576","Gerüstmonteur,in",3
"1577","Barkeeper,in",1
"1578","Biotechnologe, Biotechnologin",2
"1579","Baugeräteführer,in",2
"1580","Wachschutz",2
"1581","Hundeführer,in",3
"1582","Tierlehrer,in",2
"1583","Sicherungsposten",2
"1584","Autor,in",4
"1585","Konstruktionsleiter,in",2
"1586","Friedhofsgärtner,in",2
"1587","Lüftungsmonteur,in",1
"1588","Versorgungsingenieur,in",2
"1589","Wirtschaftskaufmann,frau",2
"1590","Fluggeräteabfertiger,in",2
"1591","Textilarbeiter,in",2
"1592","Wehrdienstleistende, r (FWDL) ohne Ausbildung",1
"1593","Kernbohrer,in",5
"1594","Bohrer,in",1
"1595","Restaurantleiter,in",9
"1596","Anästhesiepfleger,in",2
"1597","Sportmediziner,in",2
"1598","Computer Operator",1
"1599","Bekleidungstechnische,r Assistent,in",2
"1600","Pianist,in",5
"1601","Konzertpianist,in",1
"1602","Assistent,in kaufmännisch Datenverarbeitung",1
"1603","Werksicherheitsdienst",3
"1604","Instandhaltungsmonteur,in",1
"1605","Filialdirektor,in",1
"1606","Restaurantkellner,in",1
"1607","Fachgehilfen (steuer- und wirtschaftsberatende Berufe)",3
"1608","Beamter,Beamtin Steuerverwaltung",5
"1609","Treppenbauer,in",2
"1610","Hundefriseur,in",3
"1611","Schlachtermeister,in",3
"1612","Kanalfacharbeiter,in",4
"1613","Diplom-Volkswirt,in",2
"1614","Wirtschaftswissenschaftler,in",1
