"","X..i..","freq"
"363","Hotelangestellte,r",9
"364","Stuckateur,in",6
"365","Beratende,r Ingenieur,in",2
"366","Geschäftsführende,r Gesellschafter,in",37
"367","Groß- und Außenhandelskaufmann, frau",38
"368","Redakteur,in",20
"369","Student,in",9
"370","Student,in (Anglistik)",3
"371","Pächter,in",1
"372","Bereichsleiter,in",3
"373","Fernmeldebaumonteur,in",1
"374","Student,",2
"375","Arbeitsvorbereiter,in",6
"376","Planungsingenieur,in",7
"377","Zeitsoldat,in",44
"378","Sportlehrer,in",5
"379","Elektromechaniker,in, Industrieelektroniker,in",4
"380","Galvanotechniker,in",1
"381","Logopäde,Logopädin",9
"382","Fachlehrer,in musisch-technische Fächer",3
"383","Cafeinhaber,in",2
"384","Metzger,in",2
"385","CNC-Fräser,in",14
"386","Qualitätsprüfer,in",9
"387","Vertriebsingenieur,in",25
"388","Kassierer,in",9
"389","Supporter,in (EDV)",5
"390","Lackingenieur,in",2
"391","Konstruktionsmechaniker,in Feinblechbautechnik",3
"392","Textilingenieur,in",3
"393","Automechanikermeister,in",2
"394","Diplom-Modedesigner,in",4
"395","Bürokommunikationselektroniker,in",1
"396","Gesandte,r",1
"397","Schrotthändler,in",1
"398","Kabelbauer,in",1
"399","Elektrokonstrukteur,in",5
"400","Elektroindustriearbeiter,in",7
"401","Entwicklungsingenieur,in",42
"402","Informatikingenieur,in technisch",3
"403","Zweiradmechaniker,in",5
"404","Chemielaborant,in",25
"405","Student,in (Chemie)",18
"406","Geldtransportfahrer,in",1
"407","Polizeibeamter,beamtin Außendienst",29
"408","Modedesigner,in",3
"409","Technische,r Vertriebsberater,in",2
"410","Bestatter,in",3
"411","Referent,in",14
"412","Verwaltungsbeamter,beamtin",10
"413","Personalbetreuer,in",13
"414","Verwaltungsangestellte,r",69
"415","Vertriebstechniker,in",2
"416","Sekretär,in geprüft",2
"417","Jurist,in",7
"418","Lehrling",1
"419","Kundenbetreuer,in",3
"420","Auszubildende,r (Elektroniker,in)",4
"421","Sanitär- und Heizungsmonteur,in",2
"422","Garten- und Landschaftsbauer,in",17
"423","Maschinen- und Anlagenfahrer,in",30
"424","Student,in (Physik)",11
"425","Sparkassenkaufmann,frau",7
"426","Werkzeugmechaniker,in Stanz- und Umformtechnik",9
"427","IT-System-Kaufmann,-frau",10
"428","Rettungsassistent,in",25
"429","Materialdisponent,in",6
"430","Call-Center-Agent,in",21
"431","Auszubildende,r (Anlagenmechaniker,in für Sanitär-, Heizungs- und Klimatechnik)",13
"432","Auszubildende,r (Kaufmann,Kauffrau für Büromanagement)",20
"433","Chirurg,in",5
"434","Rechtspfleger,in (gehobener Justizdienst)",7
"435","Netzwerkadministrator,in",9
"436","Technische,r Angestellte,r (sonstige)",19
"437","Rettungssanitäter,in",30
"438","Fachkraft Lagerwirtschaft",20
"439","Diplom-Psychologe,Psychologin",5
"440","Techniker,in (Maschinen-, Apparate- und Fahrzeug)",28
"441","Bauleiter,in",21
"442","Dachdeckermeister,in",8
"443","Auszubildende,r (Tiermedizinische,r Fachangestellte,r)",3
"444","Touristikkaufmann,frau",10
"445","Sozialversicherungsangestellte,r",24
"446","Chauffeur,in",3
"447","Zimmermann,frau",6
"448","Koordinator,in",3
"449","Versicherungsvermittler,in",2
"450","Gießereimechaniker,in",6
"451","Sozialpädagogische,r Mitarbeiter,in",5
"452","Student,in (Maschinenbau)",59
"453","Justizfachangestellte,r",12
"454","Sozialarbeiter,in, Sozialpädagoge,in",37
"455","Polizist,in",41
"456","Elektroinstallateur,in",7
"457","Schulsozialarbeiter,in",1
"458","Diplom-Kaufmann,frau",23
"459","Industriemechaniker,in",82
"460","Produktionsplaner,in",10
"461","Landmaschinenmechaniker,in",7
"462","Fachkraft für Materialwirtschaft",1
"463","Abteilungsmeister,in",12
"464","Magazinarbeiter,in",5
"465","PR-Berater,in",5
"466","Busfahrer,in",22
"467","Steuerassistent,in",16
"468","Augenarzt,ärztin",1
"469","Diplom-Elektroingenieur,in",12
"470","Warenkontrolleur,in",3
"471","Makler,in",3
"472","Syndici",7
"473","Objektleiter,in",2
"474","Raumplaner,in",1
"475","Beamter,Beamtin Polizeivollzugsdienst",2
"476","Versandleiter,in",7
"477","Finanzbuchhalter,in",22
"478","Student,in (Sozialwissenschaften)",10
"479","Professor,in",2
"480","Betreuer,in",5
"481","Montagewerker,in",6
"482","Lagerist,in",28
"483","IT-Systemelektroniker,in",16
"484","Konstrukteur,in",32
"485","Pharmazeutisch-kaufmännische,r Angestellte,r",5
"486","EDV-Mitarbeiter,in",6
"487","Kauenwärter,in",1
"488","Handwerksmeister,in",3
"489","Bildingenieur,in",1
